name,age,draft_position,length_of_contract,year_of_contract,gp,a,toi_per_g,plus_minus,pim,pp_pts,shots,shooting_pct,faceoff_pct,g60,gp_24,plus_minus_24,p60_24,shooting_pct_24,pos_C,pos_D,pos_L,pos_R,expiry_status_RFA,expiry_status_UFA,draft_tier_after1,draft_tier_round1,draft_tier_top_10,draft_tier_undrafted
Matias Maccelli,-0.0010163806,-0.0009825093,-0.009456656,-0.0002024767,0.0,0.0008210726,-0.0028384875,0.00088048575,0.0012153371,0.0015463886,-7.140611e-05,5.571753e-05,3.736581e-05,0.00015572847,0.0,0.0011336688,-0.0009564395,-0.0005082436,1.6296155e-05,9.236779e-05,0.000297833,-3.308258e-05,2.1894151e-05,0.0,4.0654413e-06,3.5948004e-05,-2.4837487e-05,3.0533367e-05
Auston Matthews,0.0041945013,0.0085401,0.0100463955,-0.00039371557,0.0,0.0035405217,0.01691116,0.00034997598,0.0012707267,0.0074842917,0.0060595414,0.00044280573,0.0011215818,-0.0005494121,0.0,0.00018849806,0.01875324,0.0014130975,4.5415083e-05,9.9641446e-05,-3.6363686e-05,-2.0412113e-05,9.166449e-06,0.0,-2.188317e-06,6.371957e-05,6.975557e-05,7.302133e-05
William Nylander,0.003791617,0.0045515858,0.03243917,-0.00068600563,0.0,0.0069124624,0.010952433,0.0005687426,0.00067845325,0.0100748995,0.00015759427,0.0022010098,0.0002446569,-0.0012326868,0.0,-0.000763491,0.008428262,0.0014489965,-8.602754e-06,0.00015594468,-5.6058438e-05,8.3439474e-05,2.1894151e-05,0.0,-1.2555882e-05,4.9619768e-05,0.00016900165,3.779282e-05
Michael Pezzetta,0.00040667626,-0.00076661224,-0.011049027,-0.0001342889,0.0,-0.0008988509,-0.0077044023,0.00038928728,0.0006845081,-0.0019371285,-0.0001773034,-0.0004941091,9.9095574e-05,5.7553447e-05,0.0,0.00017787384,-0.0053086244,-0.00049293926,6.7364825e-05,4.2317297e-05,0.00018448777,-5.3522803e-05,7.024306e-06,0.0,4.0654413e-06,-7.362586e-06,-1.9281451e-05,-1.0828387e-05
Jacob Quillan,-0.0021196005,-0.0020356916,-0.011195217,-0.00012538739,0.0,-0.00042669868,-0.005941598,-0.000228854,4.3887703e-05,-0.0019469111,-0.00019242498,0.0002429933,-0.00014774562,0.0007378292,0.0,-0.00040611232,-0.0035234788,-0.0001698244,-7.375878e-05,7.620014e-05,-4.9902137e-05,-3.2556076e-05,4.517612e-06,0.0,-1.9708464e-06,-3.2590026e-05,-1.9281451e-05,-0.00013928597
Nicholas Robertson,-0.002398707,-0.00045095274,-0.016522817,0.00046006418,0.0,0.00038153236,-0.0039969054,0.001402306,-0.00019601021,-0.0028236152,0.0009839373,-0.0003986537,0.00014624425,-0.0006007866,0.0,-0.00013804602,0.0019638103,0.0022517142,1.8190281e-05,5.1606898e-05,0.00033528614,-7.0827286e-05,2.1894151e-05,0.0,4.0654413e-06,6.0691986e-05,-1.4401941e-05,4.262197e-05
John Tavares,0.0023299553,0.00453286,0.0082542,0.00035890567,0.0,-0.002691293,0.0031830925,-7.2513714e-05,3.0865493e-05,0.0040931036,-0.00026487885,-0.00078548794,-0.0003805603,-0.0030998378,0.0,-0.0010391463,0.009340172,-0.0018685082,9.3161125e-06,-2.094845e-06,-4.8084403e-05,-4.9417213e-05,2.1894151e-05,0.0,-2.188317e-06,4.91884e-05,6.975557e-05,7.302133e-05
Simon Benoit,0.0006976212,-0.0028617366,-0.009032306,-0.00065402105,0.0,-0.00039113953,-0.00010829061,0.00055802753,-0.0013819587,-0.0018170571,-0.00033429504,-0.00040790986,4.905926e-05,0.0003396607,0.0,-0.0010645898,-0.005199836,-0.000471503,2.6056954e-05,-4.7836533e-05,-4.6843656e-05,-6.0275852e-05,4.517612e-06,0.0,-1.9708464e-06,-1.722005e-06,-2.1956412e-05,-0.00041933707
Brandon Carlo,0.00060768146,-0.0016208008,0.013528815,-0.0019086915,0.0,-0.0017314352,0.005702478,-0.000107477346,0.00054888916,-0.00393896,-0.0020078165,-0.00019930847,0.00016610647,0.00049265526,0.0,0.00021627254,-0.0063197752,-0.00057579734,8.690086e-05,-2.7900502e-05,-3.190838e-05,-5.442414e-05,7.024306e-06,0.0,4.2372354e-05,-1.3842979e-05,-2.4506606e-05,4.7532703e-05
Oliver Ekman-Larsson,0.0053283926,0.00027463998,0.005284979,-0.0010684931,0.0,0.0024042237,0.008833052,9.8270524e-05,-0.0017767143,-0.003164368,-0.002928885,8.376258e-05,0.00012575381,0.00018642667,0.0,-0.0023174146,-0.0026710262,-0.0010784717,8.366182e-05,7.014432e-05,-6.385979e-05,-2.9930721e-05,2.1894151e-05,0.0,-1.9708464e-06,2.230432e-05,0.00014466787,7.173468e-05
