name,team,pos,age,rwpi_role,rwpi_off_score,rwpi_def_score,rwpi_score,cap_hit,true_value,value_gap,expiry_status,expiry_year,years_left,gp,player_id
Joshua Mahura,SEA,D,27.8932,Depth / 7th Defenseman,7.866868381240545,56.429652042360054,19.51588502269289,3658333.0,812500.0,-2845833.0,UFA,2028.0,2.0,21.0,8479372
Brandon Montour,SEA,D,31.9589,Offensive Defenseman,51.13464447806354,40.24205748865356,27.987897125567322,7142857.0,5187500.0,-1955357.0,UFA,2031.0,5.0,53.0,8477986
Jamie Oleksiak,SEA,D,33.2621,Depth / 7th Defenseman,10.892586989409985,88.04841149773071,60.968229954614216,4600000.0,775000.0,-3825000.0,UFA,2026.0,0.0,69.0,8476467
Macklin Celebrini,SJS,C,19.7864,Offensive Driver F,97.42813918305598,29.80332829046899,90.77155824508321,975000.0,7830664.09232078,6855664.09232078,RFA,2027.0,1.0,70.0,8484801
Igor Chernyshov,SJS,L,20.3203,Unknown,,,,934167.0,,,RFA,2028.0,2.0,18.0,8484994
Ty Dellandrea,SJS,C,25.681,Defensive / PK Forward,28.593040847201213,90.77155824508321,78.9712556732224,1625000.0,3250000.0,1625000.0,UFA,2028.0,2.0,42.0,8480848
William Eklund,SJS,L,23.4552,Offensive Driver F,77.15582450832072,38.42662632375189,62.632375189107414,5600000.0,5611056.610622708,11056.610622707754,UFA,2029.0,3.0,66.0,8482667
Adam Gaudette,SJS,R,29.4784,Depth / Bottom-6 F,77.60968229954615,24.508320726172467,44.024205748865356,2000000.0,1650000.0,-350000.0,UFA,2027.0,1.0,57.0,8478874
Barclay Goodrow,SJS,C,33.0787,Defensive / PK Forward,29.80332829046899,93.64599092284418,85.62783661119516,3641667.0,3250000.0,-391667.0,UFA,2027.0,1.0,70.0,8476624
Collin Graf,SJS,R,23.5127,Defensive / PK Forward,72.91981845688352,65.9606656580938,67.0196671709531,941667.0,3250000.0,2308333.0,RFA,2026.0,0.0,69.0,8484911
Philipp Kurashev,SJS,C,26.4559,Depth / Bottom-6 F,51.43721633888049,39.183055975794254,27.23146747352496,1200000.0,1000000.0,-200000.0,UFA,2026.0,0.0,42.0,8480798
Michael Misa,SJS,C,19.1075,Depth / Bottom-6 F,76.39939485627836,7.413010590015129,30.257186081694403,975000.0,1650000.0,675000.0,RFA,2028.0,2.0,33.0,8485402
Zack Ostapchuk,SJS,C,22.8282,Depth / Bottom-6 F,23.903177004538577,68.83509833585477,19.667170953101362,825000.0,1000000.0,175000.0,RFA,2026.0,0.0,47.0,8482859
Ryan Reaves,SJS,R,39.1814,Depth / Bottom-6 F,22.844175491679273,24.96217851739788,2.5718608169440245,1350000.0,775000.0,-575000.0,UFA,2026.0,0.0,50.0,8471817
Pavol Regenda,SJS,L,26.3025,Depth / Bottom-6 F,79.4251134644478,34.039334341906205,53.40393343419062,775000.0,1650000.0,875000.0,UFA,2026.0,0.0,22.0,8483630
Kiefer Sherwood,SJS,L,30.9897,Defensive / PK Forward,77.3071104387292,72.76853252647504,85.09833585476551,5750000.0,3250000.0,-2500000.0,UFA,2031.0,5.0,44.0,8480748
